City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Ponta Do Sol,PT,2021-08-12 02:28:39,32.6667,-17.1,74.03,77,19,4.45
132,Crisan,RO,2021-08-12 02:32:26,44.9667,29.4667,70.39,63,0,8.1
133,Pinos,MX,2021-08-12 02:32:26,22.3,-101.5667,58.05,58,0,15.99
134,Itaueira,BR,2021-08-12 02:32:26,-7.6033,-43.0256,76.69,41,0,6.4
135,Busselton,AU,2021-08-12 02:30:07,-33.65,115.3333,59.04,74,91,7.9
136,Sainte-Marie,RE,2021-08-12 02:32:27,-20.8968,55.5496,69.96,78,0,10.36
137,Fukue,JP,2021-08-12 02:29:19,32.6881,128.8419,77.36,100,75,6.91
138,Namibe,AO,2021-08-12 02:30:47,-15.1961,12.1522,61.43,90,9,11.01
139,Ballina,AU,2021-08-12 02:27:20,-28.8667,153.5667,75.78,53,40,3.44
140,Port Elizabeth,ZA,2021-08-12 02:30:13,-33.918,25.5701,57.49,62,0,18.41
141,Inta,RU,2021-08-12 02:32:28,66.0317,60.1659,61.43,65,100,11.95
142,Leshukonskoye,RU,2021-08-12 02:32:28,64.8989,45.7622,62.24,99,100,3.83
143,Grand Gaube,MU,2021-08-12 02:32:28,-20.0064,57.6608,72.0,84,11,5.01
144,Ambilobe,MG,2021-08-12 02:32:29,-13.2,49.05,68.52,75,48,3.15
145,Palmer,US,2021-08-12 02:25:20,42.1584,-72.3287,81.21,75,40,5.01
146,Ilulissat,GL,2021-08-12 02:32:29,69.2167,-51.1,44.62,81,75,4.61
147,Iracoubo,GF,2021-08-12 02:32:30,5.4802,-53.2011,76.78,88,100,4.68
148,Seguela,CI,2021-08-12 02:32:30,7.9611,-6.6731,70.25,97,99,8.77
149,Baneh,IR,2021-08-12 02:32:30,35.9975,45.8853,72.82,29,26,3.94
150,Stornoway,GB,2021-08-12 02:28:41,58.2093,-6.3865,48.92,100,75,0.0
151,Praia,CV,2021-08-12 02:32:31,14.9215,-23.5087,77.54,69,75,10.36
152,Sao Filipe,CV,2021-08-12 02:27:38,14.8961,-24.4956,74.82,78,54,10.38
153,Cape Town,ZA,2021-08-12 02:30:35,-33.9258,18.4232,51.89,93,75,4.0
