City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
199,Puerto Ayora,EC,69.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
200,Victoria,HK,87.96,22.2855,114.1577,Mini Hotel Central
201,Bainbridge,US,81.79,47.6262,-122.5212,Bainbridge Island Country Inn
202,Jabinyanah,TN,80.4,35.035,10.9081,maison belmabrouk
203,Kingman,US,75.54,35.1894,-114.053,Rodeway Inn Kingman Route 66
204,Sapele,NG,73.06,5.8941,5.6767,Movig Hotel & Suites
205,Sinnamary,GF,77.5,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Saint-Joseph,RE,64.78,-21.3667,55.6167,"""Plantation Bed and Breakfast"
208,Butaritari,KI,83.44,3.0707,172.7902,Isles Sunset Lodge
209,Riyadh,SA,87.85,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
210,Gushikawa,JP,85.23,26.3544,127.8686,Kirari Guest House
213,Kodinar,IN,81.95,20.7903,70.7031,residency of N.B vadhel
214,Sibolga,ID,83.28,1.7427,98.7792,Hotel Syariah CN Darussalam
215,Sioux Lookout,CA,68.38,50.1001,-91.917,Knobby's Fly-In Camps
216,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
217,Gariaband,IN,81.95,20.635,82.0614,हंसराज ट्रैक्टर
219,Fontem,CM,65.88,5.4685,9.8818,Vista Palace Hotel
226,Nampula,MZ,62.55,-15.1165,39.2666,BUTIK Hotel
227,Bhopal,IN,77.23,23.2667,77.4,SPOT ON 63658 Shukla Lodge
228,Awbari,LY,84.07,26.5921,12.7805,فندق أوباري
230,Daru,PG,79.03,-9.0763,143.2092,Daru Lodge
231,Yulara,AU,66.04,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
232,Macherla,IN,88.61,16.4833,79.4333,Vivek express
233,Nobeoka,JP,72.66,32.5833,131.6667,En City Hotel Nobeoka
234,Flinders,AU,79.05,-34.5833,150.8552,Shellharbour Resort & Conference Centre
235,Bilma,NE,90.82,18.6853,12.9164,Expeditions Ténére voyages
236,Fortuna,US,61.93,40.5982,-124.1573,Super 8 by Wyndham Fortuna
240,Pacific Grove,US,72.81,36.6177,-121.9166,Lovers Point Inn
241,Eydhafushi,MV,83.17,5.1033,73.0708,Soneva Fushi
242,Harsin,IR,65.21,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
243,Qui Nhon,VN,92.14,13.7667,109.2333,Hoang Yen Canary Hotel
244,Rosetown,CA,62.58,51.5501,-108.0014,Travelodge by Wyndham Rosetown
245,Makakilo City,US,82.72,21.3469,-158.0858,Marriott's Ko Olina Beach Club
247,Petropavlovsk-Kamchatskiy,RU,68.59,53.0452,158.6483,The Hotel Petropavlovsky
248,Kailua,US,84.18,21.4022,-157.7394,Sheffield House Bed & Breakfast
251,Karasuk,RU,63.79,53.7377,78.0403,London Siti Otel'
252,Truro,GB,61.56,50.2653,-5.0544,Mannings Hotel
253,Castro,BR,60.35,-24.7911,-50.0119,CHACARA BAILLY
254,Aksu,CN,80.89,41.1231,80.2644,Pudong Holiday Hotel
255,Ixtapa,MX,77.23,20.7,-105.2,Hotel Plaza Providencia
256,Shuyskoye,RU,64.87,59.3736,41.0305,
257,Namatanai,PG,85.84,-3.6667,152.4333,Seagulls Inn Namatani
258,Emmett,US,85.89,43.8735,-116.4993,Holiday Motel & R.V Park
260,Roma,US,80.83,43.2128,-75.4557,Wingate By Wyndham Rome
261,Sambava,MG,66.99,-14.2667,50.1667,Melrose
266,Saskylakh,RU,66.29,71.9167,114.0833,
267,Lorengau,PG,86.02,-2.0226,147.2712,Lorengau Harbourside Hotel
268,Banda Aceh,ID,79.18,5.5577,95.3222,Sulthan Hotel International
269,Maracacume,BR,72.37,-2.0428,-45.9592,Hotel Ramos
270,Iturama,BR,70.99,-19.7281,-50.1956,República DominaCana
271,Quatre Cocos,MU,68.11,-20.2078,57.7625,Sunrise Attitude Hotel
272,Panama City,PA,79.18,8.9936,-79.5197,Hotel Riande Granada Urban
273,Bondowoso,ID,85.86,-7.9135,113.8214,Anugerah Hotel Bondowoso
274,Nantucket,US,75.31,41.2835,-70.0995,Jared Coffin House
275,Mbigou,GA,66.79,-1.9005,11.906,
276,Srednekolymsk,RU,67.37,67.45,153.6833,
278,Arraial Do Cabo,BR,69.3,-22.9661,-42.0278,Pousada Porto Praia
279,Fort Nelson,CA,65.79,58.8053,-122.7002,The Fort Nelson Hotel
281,Surt,LY,80.46,31.2089,16.5887,الهادي ابوشعاله سرت
282,Saint-Augustin,CA,64.58,51.226,-58.6502,
284,Kavaratti,IN,81.77,10.5669,72.642,Hotels in Lakshadweep Islands
285,Kaeo,NZ,60.33,-35.1,173.7833,Bushido Lodge
287,Dasoguz,TM,78.75,41.8363,59.9666,Ташауз Отел
288,Ponta Do Sol,PT,74.01,32.6667,-17.1,Hotel do Campo
290,Hearst,CA,71.85,49.6835,-83.6665,Companion
291,Aswan,EG,85.3,24.0934,32.907,Nuba Nile
292,Cayenne,GF,75.24,4.9333,-52.3333,Hôtel Le Dronmi
293,Tual,ID,80.69,-5.6667,132.75,Grand Vilia Hotel
294,Zemio,CF,66.67,5.0314,25.1361,OCHA Office
295,Llangefni,GB,60.66,53.2556,-4.3106,Bull Hotel
296,Lensk,RU,75.2,60.7253,114.9278,ТинОрС
297,Ternate,ID,84.63,0.8,127.4,Grand Dafam Bela Ternate
298,Tanabe,JP,83.93,33.7333,135.3667,美吉屋旅館
299,Misratah,LY,83.79,32.3754,15.0925,فندق الماسة
301,Filingue,NE,83.75,14.3521,3.3168,
303,Tabuan,PH,88.3,9.5156,122.8506,Upper Datong Lake
304,Nabire,ID,86.32,-3.3667,135.4833,Hotel Nusantara Nabire
305,Chernyshevskiy,RU,73.42,63.0128,112.4714,Chernyseyskiy
307,Jaguey Grande,CU,79.45,22.5269,-81.1286,Hostal lleana
308,Port Moresby,PG,87.22,-9.4431,147.1797,Lamana Hotel (Port Moresby)
309,Tiksi,RU,62.06,71.6872,128.8694,Arktika
310,San Policarpo,PH,85.33,12.1791,125.5072,Manong Aklan Resort
311,Sawtell,AU,72.19,-30.3833,153.1,Island Beach House Sawtell
312,Moncarapacho,PT,72.82,37.0886,-7.7872,Vila Monte Farm House
313,Lagoa,PT,71.6,39.05,-27.9833,Casa Das Faias
314,Ambilobe,MG,64.74,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
315,Jalingo,NG,71.06,8.8833,11.3667,Debright Motel
317,Hobyo,SO,75.81,5.3505,48.5268,Halane Hotel and Restaurent
318,Hasaki,JP,88.09,35.7333,140.8333,Hotel Sunrise Choshi
319,Kenai,US,64.49,60.5544,-151.2583,Aspen Extended Stay Suites
320,Kushiro,JP,65.35,42.975,144.3747,Toyoko Inn Kushiro Jujigai
321,Mareeba,AU,79.48,-17.0,145.4333,Trinity Plains Tourist Park
322,Aljezur,PT,65.21,37.3191,-8.8033,Amazigh Hostel
323,Los Llanos De Aridane,ES,67.75,28.6585,-17.9182,Valle Aridane
324,Linjiang,CN,79.68,41.8069,126.9078,格林豪泰
325,Shetpe,KZ,88.03,44.1667,52.1167,Rtsm Shetpe Analog
326,Axim,GH,75.58,4.8699,-2.2405,Axim Beach Resort And Spa
327,San Cristobal,VE,66.04,7.7669,-72.225,Posada Villaven C.A.
330,Zonalnaya Stantsiya,RU,72.01,56.4269,85.0221,Hotel Lider
331,Port Hawkesbury,CA,66.9,45.6169,-61.3485,MacKenzie House Tourist Home B&B
332,Lyndon,US,84.54,38.2567,-85.6016,SpringHill Suites by Marriott Louisville Hurstbourne/North
333,Dongsheng,CN,73.22,39.8161,109.9776,Crowne Plaza Ordos
334,Zhanaozen,KZ,84.88,43.3,52.8,K.korabay 28A
335,Kohima,IN,76.57,25.6667,94.1167,The Homestay
336,Sisophon,KH,88.92,13.5859,102.9737,Pyramid Hotel
337,Princeton,US,85.01,25.5384,-80.4089,American Best Inn
338,Juegang,CN,83.97,32.3174,121.1855,Rudong Y Hotel
339,Salinopolis,BR,79.36,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
340,San Felipe,VE,72.41,10.3399,-68.7425,Posada Llovizna Rodríguez
341,Marzuq,YE,77.76,14.4,46.4667,
344,Celestun,MX,79.7,20.8667,-90.4,Posada Lilia
345,Toamasina,MG,62.6,-18.1667,49.3833,Hotel H1
